Month,Temp_oC,NutAvail_N_Mpm2mo,NutAvail_P_Mpm2mo,NutAvail_Ca_Mpm2mo,NutAvail_Mg_Mpm2mo,NutAvail_K_Mpm2mo,PAR_uMpm2s,WaterAccessible_mpmo,AtmosphCO2_uLpL,Herbivores_kgLivepha,MaxCfixGivenTemp_prop,MaxCfixGivenLight_prop,MaxCfixGivenWater_prop,MaxCfixGivenCO2_prop,MaxCFixGivenN_prop,MaxCFixGivenP_prop,MaxCFixGivenCa_prop,MaxCFixGivenMg_prop,MaxCFixGivenK_prop,Plant_C_Mpm2,Plant_N_Mpm2,Uptake_C_Mpm2mo,Uptake_N_Mpm2mo,Uptake_P_Mpm2mo,Uptake_Ca_Mpm2mo,Uptake_Mg_Mpm2mo,Uptake_K_Mpm2mo,RootLengthDensity_Layer1_mpm3,RootLengthDensity_Layer2_mpm3,RootLengthDensity_Layer3_mpm3,RootLengthDensity_Layer4_mpm3,MycorLengthDensity_Layer1_mpcm3,MycorLengthDensity_Layer2_mpcm3,MycorLengthDensity_Layer3_mpcm3,MycorLengthDensity_Layer4_mpcm3,Litterfall_C_Layer1_Mpm2mo,Litterfall_C_Layer2_Mpm2mo,Litterfall_C_Layer3_Mpm2mo,Litterfall_C_Layer4_Mpm2mo,Leaf_C_Mpm2,Wood_C_Mpm2,Root_C_Mpm2,Mycor_C_Mpm2,Leaf_N_Mpm2,Wood_N_Mpm2,Root_N_Mpm2,Kdrought_Leaf, Kseasonal_Leaf, KHerbivory_Leaf,Kdrought_Wood, Kseasonal_Wood, KHerbivory_Wood,Kdrought_Root, Kseasonal_Root, KHerbivory_Root 
    21.000,     9.216,     0.267,     0.019,     0.060,     0.049,     2.000,   964.425,     0.050,   395.000,     0.000,     0.858,     0.824,     0.498,     1.002,     0.275,     0.322,     0.639,     2.105,     8.911,    46.559,     1.560,    14.553,     0.267,     0.027,     0.037,     0.008,     0.065,  8068.083,  3806.109,   423.833,     0.278,   128.971,    60.842,     6.775,     0.004,     8.422,     1.540,     1.372,     0.003,    12.492,    10.074,    15.273,     8.720,     0.330,     0.035,     0.182,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
    22.000,     6.386,     0.267,     0.019,     0.060,     0.049,     2.000,   757.974,     0.357,   395.000,     0.000,     0.606,     0.745,     1.000,     1.002,     0.275,     0.323,     0.642,     2.110,     8.911,    53.315,     1.779,    14.558,     0.267,     0.027,     0.037,     0.008,     0.065,  9179.606,  4330.468,   482.224,     0.316,   146.737,    69.223,     7.708,     0.005,     5.378,     1.150,     1.024,     0.003,    14.391,    11.626,    17.377,     9.921,     0.378,     0.040,     0.207,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
    23.000,     3.354,     0.267,     0.019,     0.060,     0.049,     2.000,   429.296,     0.297,   395.000,     0.000,     0.261,     0.539,     1.000,     1.002,     0.289,     0.341,     0.665,     2.135,     8.928,    58.918,     1.991,    13.823,     0.267,     0.026,     0.035,     0.007,     0.061, 10107.394,  4768.151,   530.962,     0.348,   161.567,    76.219,     8.487,     0.006,     5.738,     1.186,     1.057,     0.003,    15.768,    13.093,    19.134,    10.923,     0.448,     0.046,     0.228,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
    24.000,     1.422,     0.267,     0.019,     0.060,     0.049,     2.000,   386.611,     0.355,   395.000,     0.000,     0.122,     0.502,     1.000,     1.002,     0.322,     0.354,     0.682,     2.155,     8.941,    58.533,     1.986,     6.448,     0.223,     0.012,     0.016,     0.003,     0.029, 10050.891,  4741.496,   527.994,     0.346,   160.663,    75.793,     8.440,     0.006,     4.990,     0.916,     0.816,     0.002,    14.890,    13.755,    19.027,    10.862,     0.448,     0.048,     0.226,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
    25.000,     0.547,     0.267,     0.019,     0.060,     0.049,     2.000,   465.146,     0.410,   395.000,     0.000,     0.083,     0.568,     1.000,     1.002,     0.333,     0.348,     0.676,     2.149,     8.935,    59.287,     2.003,     4.405,     0.134,     0.008,     0.011,     0.002,     0.020, 10163.085,  4794.423,   533.888,     0.350,   162.456,    76.638,     8.534,     0.006,     2.603,     0.514,     0.458,     0.001,    14.872,    14.192,    19.239,    10.983,     0.448,     0.049,     0.229,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
    26.000,     0.401,     0.267,     0.019,     0.060,     0.049,     2.000,   490.043,     0.205,   395.000,     0.000,     0.078,     0.587,     1.000,     1.002,     0.333,     0.349,     0.677,     2.150,     8.935,    59.807,     2.012,     4.128,     0.125,     0.008,     0.010,     0.002,     0.018, 10234.751,  4828.232,   537.653,     0.353,   163.601,    77.179,     8.594,     0.006,     2.579,     0.507,     0.451,     0.001,    14.774,    14.598,    19.375,    11.061,     0.445,     0.051,     0.230,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
    27.000,     1.933,     0.267,     0.019,     0.060,     0.049,     2.000,   649.036,     0.187,   395.000,     0.000,     0.151,     0.690,     1.000,     1.002,     0.333,     0.349,     0.677,     2.150,     8.935,    63.373,     2.131,     7.985,     0.242,     0.015,     0.020,     0.004,     0.035, 10797.401,  5093.661,   567.210,     0.372,   172.594,    81.421,     9.067,     0.006,     3.024,     0.666,     0.593,     0.001,    15.842,    15.422,    20.440,    11.669,     0.477,     0.054,     0.243,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
    28.000,     3.641,     0.267,     0.019,     0.060,     0.049,     2.000,   833.814,     0.372,   395.000,     0.000,     0.289,     0.778,     1.000,     1.002,     0.344,     0.358,     0.689,     2.163,     8.945,    71.713,     2.418,    15.288,     0.464,     0.029,     0.039,     0.008,     0.068, 12141.950,  5727.950,   637.842,     0.418,   194.086,    91.560,    10.196,     0.007,     4.651,     1.076,     0.959,     0.002,    18.568,    17.037,    22.985,    13.122,     0.559,     0.059,     0.273,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
    29.000,     7.100,     0.267,     0.019,     0.060,     0.049,     2.000,   979.960,     0.367,   395.000,     0.000,     0.685,     0.829,     1.000,     1.002,     0.370,     0.382,     0.719,     2.196,     8.969,    82.868,     2.781,    19.578,     0.267,     0.037,     0.049,     0.010,     0.087, 13956.517,  6583.970,   733.165,     0.481,   223.090,   105.242,    11.719,     0.008,     5.611,     1.309,     1.166,     0.003,    22.251,    19.114,    26.420,    15.083,     0.646,     0.067,     0.314,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
    30.000,     9.536,     0.267,     0.019,     0.060,     0.049,     2.000,  1065.523,     0.546,   395.000,     0.000,     0.876,     0.854,     1.000,     1.002,     0.390,     0.415,     0.760,     2.240,     9.001,    94.135,     3.147,    20.636,     0.267,     0.039,     0.052,     0.011,     0.092, 15805.430,  7456.193,   830.292,     0.544,   252.643,   119.184,    13.272,     0.009,     6.315,     1.427,     1.272,     0.003,    25.835,    21.299,    29.920,    17.081,     0.731,     0.074,     0.356,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
    31.000,    11.800,     0.267,     0.019,     0.060,     0.049,     2.000,  1123.948,     0.516,   395.000,     0.000,     0.955,     0.868,     1.000,     1.002,     0.410,     0.446,     0.800,     2.284,     9.034,    94.585,     3.104,    21.714,     0.267,     0.041,     0.055,     0.011,     0.096, 16004.641,  7550.170,   840.757,     0.551,   255.827,   120.686,    13.439,     0.009,    15.601,     2.796,     2.491,     0.006,    23.397,    23.595,    30.297,    17.296,     0.650,     0.082,     0.360,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
    32.000,    11.514,     0.267,     0.019,     0.060,     0.049,     2.000,  1060.860,     0.406,   395.000,     0.000,     0.948,     0.852,     1.000,     1.002,     0.389,     0.432,     0.786,     2.272,     9.017,    94.885,     3.053,    20.591,     0.267,     0.039,     0.052,     0.011,     0.091, 16046.193,  7569.772,   842.940,     0.553,   256.490,   120.999,    13.474,     0.009,    14.715,     2.761,     2.459,     0.006,    21.406,    25.762,    30.376,    17.341,     0.586,     0.090,     0.361,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
    33.000,     9.216,     0.267,     0.019,     0.060,     0.049,     2.000,   916.075,     0.310,   395.000,     0.000,     0.858,     0.808,     1.000,     1.002,     0.373,     0.420,     0.774,     2.260,     9.004,    95.135,     3.000,    19.707,     0.267,     0.037,     0.050,     0.010,     0.087, 15980.281,  7538.679,   839.477,     0.550,   255.436,   120.502,    13.419,     0.009,    13.972,     2.720,     2.423,     0.006,    19.788,    27.826,    30.251,    17.270,     0.535,     0.097,     0.360,     0.000,     0.291,     0.000,     0.000,     0.003,     0.000,     0.000,     0.145,     0.000,
    34.000,     6.386,     0.267,     0.019,     0.060,     0.049,     2.000,   621.325,     0.628,   395.000,     0.000,     0.606,     0.674,     1.000,     1.002,     0.359,     0.410,     0.763,     2.250,     8.992,   101.965,     3.199,    19.006,     0.267,     0.036,     0.048,     0.010,     0.084, 16973.833,  8007.386,   891.671,     0.585,   271.317,   127.993,    14.253,     0.009,     8.369,     1.840,     1.639,     0.004,    21.682,    29.808,    32.132,    18.343,     0.581,     0.104,     0.382,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
    35.000,     3.354,     0.267,     0.019,     0.060,     0.049,     2.000,   406.020,     0.458,   395.000,     0.000,     0.261,     0.519,     1.000,     1.002,     0.370,     0.427,     0.784,     2.273,     9.009,   104.342,     3.322,    13.823,     0.492,     0.026,     0.035,     0.007,     0.061, 17246.906,  8136.207,   906.016,     0.594,   275.682,   130.052,    14.482,     0.009,     8.046,     1.672,     1.489,     0.004,    21.834,    31.221,    32.649,    18.638,     0.658,     0.109,     0.388,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
    36.000,     1.422,     0.267,     0.019,     0.060,     0.049,     2.000,   455.667,     1.295,   395.000,     0.000,     0.122,     0.560,     1.000,     1.002,     0.420,     0.429,     0.788,     2.277,     9.011,   101.100,     3.169,     6.448,     0.196,     0.012,     0.016,     0.003,     0.029, 16590.684,  7826.635,   871.543,     0.571,   265.192,   125.104,    13.931,     0.009,     7.005,     1.360,     1.212,     0.003,    19.937,    31.828,    31.407,    17.929,     0.601,     0.111,     0.373,     0.000,     0.168,     0.000,     0.000,     0.003,     0.000,     0.000,     0.084,     0.000,
    37.000,     0.547,     0.267,     0.019,     0.060,     0.049,     2.000,   465.146,     0.297,   395.000,     0.000,     0.083,     0.568,     1.000,     1.002,     0.403,     0.414,     0.770,     2.258,     8.995,   100.471,     3.130,     4.405,     0.134,     0.008,     0.011,     0.002,     0.020, 16408.587,  7740.731,   861.977,     0.565,   262.281,   123.731,    13.778,     0.009,     3.574,     0.732,     0.652,     0.002,    19.465,    32.211,    31.062,    17.732,     0.586,     0.112,     0.369,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
    38.000,     0.401,     0.267,     0.019,     0.060,     0.049,     2.000,   490.043,     0.115,   395.000,     0.000,     0.078,     0.587,     1.000,     1.002,     0.399,     0.410,     0.765,     2.253,     8.991,    99.688,     3.084,     4.128,     0.125,     0.008,     0.010,     0.002,     0.018, 16199.206,  7641.956,   850.978,     0.558,   258.934,   122.152,    13.602,     0.009,     3.488,     0.715,     0.637,     0.002,    18.953,    32.563,    30.666,    17.506,     0.571,     0.113,     0.365,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
    39.000,     1.933,     0.267,     0.019,     0.060,     0.049,     2.000,   649.036,     0.242,   395.000,     0.000,     0.151,     0.690,     1.000,     1.002,     0.394,     0.406,     0.760,     2.247,     8.987,   102.025,     3.152,     7.985,     0.242,     0.015,     0.020,     0.004,     0.035, 16493.455,  7780.768,   866.435,     0.568,   263.638,   124.371,    13.849,     0.009,     3.876,     0.864,     0.770,     0.002,    19.645,    33.333,    31.223,    17.824,     0.592,     0.116,     0.371,     0.000,     0.090,     0.000,     0.000,     0.003,     0.000,     0.000,     0.045,     0.000,
    40.000,     3.641,     0.267,     0.019,     0.060,     0.049,     2.000,   833.814,     0.296,   395.000,     0.000,     0.289,     0.778,     1.000,     1.002,     0.401,     0.412,     0.767,     2.255,     8.993,   108.958,     3.379,    15.288,     0.464,     0.029,     0.039,     0.008,     0.068, 17524.721,  8267.266,   920.610,     0.604,   280.122,   132.147,    14.715,     0.010,     5.619,     1.308,     1.165,     0.003,    21.950,    34.894,    33.175,    18.939,     0.661,     0.121,     0.394,     0.000,     0.111,     0.000,     0.000,     0.003,     0.000,     0.000,     0.055,     0.000,
